Average_Hours_Worked_Per_Week,Monthly_Income,Hourly_Rate,Distance_From_Home,Promotion_gap,Absenteeism,Number_of_Companies_Worked,Job_Level,Years_in_Current_Role,Years_Since_Last_Promotion,Years_at_Company,Workload_index,Project_Count,Work_Life_Balance,Job_Satisfaction,Work_Environment_Satisfaction,Relationship_with_Manager,Total_Satisfaction_Score
55,10292,81,48,0.24,11,3,3,7,6,24,3,5,2,1,3,1,5
55,4912,73,49,0.07692307692307693,3,1,3,10,2,25,1,8,4,5,4,3,12
31,10098,66,44,3.0,5,3,5,14,6,1,2,7,3,4,3,1,8
40,16553,71,10,0.7,4,3,1,8,7,9,1,9,4,5,1,1,7
36,17794,70,7,0.7272727272727273,7,4,2,6,8,10,0,9,2,2,1,1,4
43,10719,42,33,1.3333333333333333,18,4,1,2,8,5,4,7,1,3,3,2,8
38,13727,45,41,0.75,4,3,5,8,6,7,0,7,4,2,2,2,6
55,9041,18,8,0.0,10,1,2,9,0,4,1,7,4,1,4,2,7
30,7289,90,22,0.045454545454545456,8,3,3,6,1,21,2,4,3,1,2,3,6
40,9019,54,45,0.0,12,3,5,12,0,2,0,6,3,3,4,4,11
34,19649,93,3,1.3333333333333333,6,3,1,4,4,2,4,9,1,5,2,4,11
55,5551,35,37,0.26666666666666666,19,2,4,14,4,14,0,5,1,1,1,1,3
47,10829,86,5,1.6,16,1,4,14,8,4,0,8,4,3,4,4,11
54,13977,48,28,0.125,3,2,3,9,3,23,2,6,3,4,3,3,10
34,11535,64,35,3.0,15,2,5,2,9,2,3,3,2,2,3,4,9
56,7227,80,20,0.5294117647058824,19,3,1,1,9,16,0,4,4,1,4,1,6
48,12905,69,43,1.6,19,2,1,10,8,4,0,6,3,1,1,3,5
54,5561,60,12,0.16666666666666666,1,1,1,5,5,29,3,3,2,5,3,3,11
39,7161,86,39,1.0,1,4,2,13,3,2,1,3,4,1,3,4,8
42,9913,57,4,0.3684210526315789,1,4,1,8,7,18,3,7,2,3,1,3,7
42,15432,99,36,0.5333333333333333,8,1,3,13,8,14,0,9,4,3,2,4,9
34,8367,81,5,0.18181818181818182,8,1,1,12,2,10,0,3,4,5,1,4,10
30,12036,71,1,2.3333333333333335,19,3,5,9,7,2,0,3,3,4,1,3,8
35,18876,25,9,3.0,1,1,2,4,9,2,1,4,4,5,3,2,10
40,13845,23,38,0.35,2,4,4,10,7,19,4,3,1,3,1,4,8
45,9152,55,4,3.5,11,1,1,2,7,1,0,6,4,2,3,2,7
32,16616,93,31,0.38095238095238093,3,3,4,5,8,20,0,1,2,1,3,1,5
34,9471,92,2,0.19047619047619047,8,1,1,12,4,20,0,3,1,1,4,1,6
51,9377,63,25,0.0,18,1,1,10,0,15,4,1,1,4,2,3,9
34,9489,97,12,0.5833333333333334,11,2,1,1,7,11,3,7,2,4,4,3,11
37,4941,45,24,0.2,11,2,3,10,6,29,0,9,2,5,1,1,7
31,11867,83,49,0.03571428571428571,0,4,4,9,1,27,0,7,4,3,4,1,8
48,8894,83,20,0.26666666666666666,16,3,1,6,4,14,0,9,4,5,1,1,7
50,19664,87,29,0.36363636363636365,11,2,5,4,8,21,1,1,4,5,2,4,11
43,15592,30,1,1.4,15,2,2,10,7,4,0,9,3,2,1,2,5
37,6180,69,20,0.391304347826087,13,1,1,9,9,22,0,8,2,3,4,3,10
47,14636,35,6,0.35294117647058826,5,2,5,12,6,16,4,3,1,5,3,4,12
44,13445,51,32,0.4090909090909091,16,2,3,4,9,21,1,3,4,2,2,1,5
57,12306,38,20,1.3333333333333333,7,1,5,1,8,5,0,7,2,3,1,4,8
38,9734,33,22,0.2,13,2,3,6,2,9,4,8,1,4,4,4,12
50,18941,16,7,0.1724137931034483,6,4,1,9,5,28,0,7,2,3,3,1,7
58,10627,68,8,0.3333333333333333,8,3,2,6,9,26,4,2,1,1,3,1,5
59,5642,31,23,0.9,15,4,2,11,9,9,2,8,3,2,4,2,8
42,5043,51,31,0.21052631578947367,12,2,3,13,4,18,3,4,2,5,2,4,11
36,9110,97,36,1.0,9,2,4,3,5,4,0,6,3,3,2,1,6
49,10996,25,46,0.13636363636363635,5,4,1,14,3,21,0,6,3,5,4,3,12
37,5983,71,48,0.2608695652173913,11,1,3,14,6,22,0,2,3,4,1,3,8
41,14642,96,48,0.30434782608695654,13,4,1,2,7,22,1,1,4,4,1,4,9
32,19315,77,38,0.0,19,3,1,6,0,27,4,5,1,3,1,1,5
55,16816,62,32,0.1111111111111111,5,2,4,6,1,8,2,1,3,4,4,2,10
49,8077,58,6,0.2,17,3,5,12,2,9,3,7,2,3,3,4,10
51,18762,75,1,0.6666666666666666,4,1,5,6,4,5,0,5,4,2,4,4,10
31,3626,25,6,0.2,8,1,2,4,3,14,2,5,3,2,1,2,5
53,9625,43,7,0.3333333333333333,14,3,2,13,8,23,0,4,1,1,1,3,5
38,10917,27,6,0.0,0,4,2,13,0,28,2,3,3,3,4,1,8
57,14667,50,33,0.15384615384615385,0,4,3,7,2,12,1,1,4,5,1,1,7
55,5364,20,37,0.0,14,1,2,1,0,29,4,9,1,3,4,3,10
57,3007,92,48,0.0,6,3,1,14,0,11,0,6,3,3,2,1,6
58,14684,29,38,0.10526315789473684,15,2,5,7,2,18,0,6,2,1,4,3,8
32,5199,52,43,0.11538461538461539,15,2,4,2,3,25,3,6,2,2,1,3,6
49,5415,78,38,0.0,11,2,1,1,0,1,0,8,2,1,1,3,5
33,4186,60,3,0.23809523809523808,19,4,2,11,5,20,1,7,4,1,2,2,5
31,12633,45,27,0.08695652173913043,9,3,4,3,2,22,0,6,3,2,2,1,5
35,10408,87,9,0.25925925925925924,14,3,3,13,7,26,2,6,3,3,4,1,8
54,7408,29,46,0.0,7,2,5,4,0,14,0,2,2,3,3,3,9
41,8816,92,16,0.5,12,1,3,12,7,13,1,2,4,4,1,1,6
57,3715,92,49,0.7,7,4,3,7,7,9,3,9,2,2,4,3,9
33,6670,56,32,0.6666666666666666,19,2,2,13,8,11,0,3,3,5,3,4,12
55,18977,72,21,0.8,14,4,5,6,8,9,0,5,3,4,3,1,8
59,12004,76,16,0.3333333333333333,7,3,3,13,8,23,1,8,4,5,3,1,9
51,18241,42,21,0.037037037037037035,11,2,3,1,1,26,4,6,1,4,2,3,9
30,9725,21,35,0.1111111111111111,18,1,5,4,2,17,0,5,1,3,3,1,7
37,11133,50,2,0.15,13,3,1,7,3,19,0,7,3,3,4,3,10
55,6110,67,13,0.0,17,2,3,4,0,12,2,6,3,4,1,4,9
44,9486,31,33,0.5833333333333334,6,4,3,7,7,11,0,2,2,5,4,2,11
31,4511,85,14,0.041666666666666664,2,1,5,6,1,23,0,8,2,1,3,4,8
54,16947,64,41,0.3333333333333333,6,1,4,5,4,11,0,5,3,3,1,2,6
54,7553,78,14,0.6666666666666666,10,4,5,13,2,2,0,3,3,2,2,4,8
31,16994,29,44,0.1,1,1,4,14,1,9,1,7,4,3,2,2,7
55,10790,85,43,0.3333333333333333,15,4,4,1,9,26,0,9,3,3,3,1,7
48,7091,27,4,0.42857142857142855,2,4,3,7,6,13,0,7,3,2,3,3,8
45,3588,49,19,0.041666666666666664,15,1,4,2,1,23,0,2,4,4,3,3,10
57,18826,24,29,0.5,15,4,1,1,2,3,0,7,2,2,2,4,8
53,12780,69,43,0.3125,10,2,2,13,5,15,0,2,1,3,2,4,9
42,6527,30,12,0.16666666666666666,1,4,3,5,2,11,0,1,2,5,4,2,11
57,10754,34,8,1.1666666666666667,4,4,4,8,7,5,3,3,2,5,4,1,10
40,6069,54,11,0.10344827586206896,17,4,3,4,3,28,2,6,3,4,1,3,8
33,7784,76,35,0.23076923076923078,10,1,5,10,6,25,0,6,2,1,3,2,6
32,17945,21,47,0.08,3,4,4,9,2,24,1,4,4,2,1,2,5
45,10097,84,14,0.3888888888888889,1,2,4,4,7,17,0,4,1,1,4,4,9
44,10484,81,5,0.3333333333333333,0,2,4,5,5,14,2,6,3,3,4,1,8
59,6927,18,45,0.125,19,3,1,14,3,23,3,7,2,1,4,4,9
57,8083,69,17,0.1,5,1,5,5,3,29,0,4,3,3,1,2,6
44,3341,73,26,0.14285714285714285,17,3,2,12,2,13,3,5,2,3,3,4,10
42,7890,60,37,0.2,1,2,1,7,3,14,0,9,2,2,4,2,8
49,16366,77,39,0.1111111111111111,13,1,2,12,3,26,1,2,4,2,4,4,10
36,10846,33,31,0.0,16,2,3,12,0,20,0,6,1,1,3,3,7
54,19493,39,17,0.19047619047619047,3,1,5,3,4,20,0,2,3,2,1,1,4
35,13634,42,10,0.45454545454545453,17,4,2,2,5,10,3,4,2,3,3,2,8
52,5810,46,33,3.0,14,4,4,12,6,1,0,4,2,2,3,3,8
55,3677,65,1,0.30434782608695654,1,1,2,14,7,22,0,2,4,4,1,4,9
56,7490,40,9,0.2222222222222222,0,2,4,7,6,26,1,5,4,3,3,4,10
56,4674,22,48,0.5,11,4,3,3,6,11,0,9,3,5,1,1,7
47,7582,88,37,0.625,6,4,2,1,5,7,0,6,4,5,4,2,11
36,10825,68,33,0.1111111111111111,1,1,3,7,3,26,0,8,1,4,3,3,10
47,4464,23,33,0.23076923076923078,11,4,2,10,6,25,4,6,1,3,1,4,8
40,5228,23,44,0.0,0,4,5,8,0,23,0,7,3,2,2,1,5
50,3521,25,2,0.6,18,4,3,3,6,9,2,5,3,3,1,2,6
42,15989,43,48,0.3,18,3,2,4,9,29,0,6,3,4,2,2,8
36,9519,82,22,0.1,15,4,2,8,1,9,1,5,4,3,3,1,7
55,18350,65,19,0.041666666666666664,8,3,4,4,1,23,0,6,2,4,2,4,10
41,17759,73,15,0.375,10,2,2,9,9,23,1,2,4,5,3,1,9
34,9761,25,8,0.3333333333333333,5,2,3,7,5,14,1,5,4,5,2,4,11
50,9323,62,29,0.09090909090909091,6,4,2,11,2,21,1,6,4,3,2,2,7
39,13608,19,34,0.2222222222222222,8,4,2,9,6,26,1,8,4,1,2,4,7
41,9315,47,14,1.1428571428571428,9,4,3,8,8,6,0,5,2,4,1,4,9
46,17331,95,35,0.26666666666666666,12,2,2,2,8,29,4,2,1,5,1,3,9
48,14678,77,47,0.7777777777777778,10,2,4,2,7,8,4,8,1,3,2,1,6
31,13851,53,31,0.0,11,2,2,14,0,12,4,8,1,2,1,3,6
33,15808,86,25,0.3888888888888889,16,2,1,11,7,17,4,5,1,5,3,3,11
49,8363,35,34,0.16,14,4,5,12,4,24,0,3,1,4,3,3,10
49,18381,79,40,0.2692307692307692,0,3,1,3,7,25,1,5,4,2,4,3,9
42,10658,32,31,0.058823529411764705,9,3,5,13,1,16,0,7,1,4,4,4,12
30,4527,51,44,0.5,5,1,5,2,3,5,0,1,2,4,4,4,12
41,19923,23,22,0.4166666666666667,4,2,1,11,5,11,4,3,1,3,3,4,10
53,7972,83,40,0.0,14,2,4,8,0,20,0,6,1,2,4,3,9
37,10254,32,31,0.2727272727272727,6,1,2,5,3,10,0,6,2,3,3,3,9
54,9609,52,35,2.5,11,4,2,13,5,1,0,9,1,1,2,2,5
45,18153,94,31,0.375,1,1,1,8,9,23,4,6,1,2,4,3,9
40,17834,72,46,0.3181818181818182,18,3,4,6,7,21,0,2,1,5,4,4,13
58,4425,68,9,0.1111111111111111,6,3,3,11,1,8,0,9,2,3,3,1,7
36,14100,88,22,0.26666666666666666,16,1,3,9,4,14,0,9,4,3,4,1,8
50,4896,73,7,0.24,12,2,3,9,6,24,0,3,3,2,1,3,6
35,5337,53,17,0.037037037037037035,15,1,5,4,1,26,3,7,2,1,3,1,5
36,8238,81,44,0.09090909090909091,6,1,2,8,1,10,0,4,4,2,1,4,7
34,4545,84,36,0.058823529411764705,19,3,2,10,1,16,4,2,1,3,4,4,11
50,17430,90,44,0.07407407407407407,13,4,4,4,2,26,0,2,1,5,3,3,11
56,17581,28,16,0.037037037037037035,19,1,3,7,1,26,1,3,4,1,3,1,5
51,6422,26,27,0.375,7,4,2,8,9,23,0,8,1,4,2,1,7
51,4578,17,8,0.3125,10,4,3,7,5,15,4,5,1,2,1,3,6
40,5190,27,11,0.42857142857142855,18,2,1,8,6,13,0,8,4,3,4,2,9
41,8117,61,29,1.0,7,1,1,13,5,4,0,6,3,5,2,1,8
42,19698,19,44,0.25,9,4,4,5,6,23,0,7,3,2,2,2,6
48,17750,57,9,0.2857142857142857,16,2,2,7,8,27,0,6,4,3,1,1,5
33,14709,64,16,0.2857142857142857,8,4,5,1,4,13,0,8,3,2,4,2,8
44,11083,43,40,0.0,2,1,2,13,0,25,0,8,2,1,3,3,7
52,16084,99,18,0.2727272727272727,17,2,3,11,6,21,0,1,2,4,2,3,9
51,14827,20,41,0.07407407407407407,10,1,5,12,2,26,0,8,2,3,1,4,8
35,17208,59,10,0.10344827586206896,2,3,5,8,3,28,2,6,3,2,1,3,6
50,14569,93,46,0.12,16,4,5,10,3,24,1,3,4,2,2,1,5
51,11870,60,14,0.4,18,3,4,2,4,9,0,6,4,1,4,2,7
33,8599,50,36,0.13636363636363635,11,2,1,5,3,21,0,6,3,2,4,2,8
58,4777,92,11,0.25,3,2,5,2,3,11,0,7,1,3,3,2,8
51,16176,95,39,0.4666666666666667,11,1,4,5,7,14,1,8,4,4,2,1,7
37,19379,46,12,0.0,5,2,2,11,0,28,0,4,3,4,4,3,11
55,16427,29,2,1.0,0,3,3,13,8,7,4,6,1,3,1,4,8
53,18307,67,45,0.2222222222222222,14,1,1,5,6,26,0,7,3,4,3,3,10
30,14950,57,49,0.10344827586206896,0,1,5,13,3,28,0,5,3,4,3,1,8
45,17630,55,25,0.25,18,3,5,4,6,23,3,1,2,2,3,2,7
38,13115,92,3,0.6363636363636364,8,3,2,3,7,10,0,3,2,5,4,4,13
57,4322,87,13,0.4444444444444444,7,3,1,5,8,17,0,7,4,3,1,2,6
52,7156,83,32,0.0,16,4,5,11,0,27,0,7,2,3,1,3,7
38,15908,19,11,0.75,3,2,5,6,3,3,2,8,3,2,3,2,7
55,16527,62,15,0.0,3,4,2,10,0,11,2,1,3,5,4,1,10
43,14552,60,19,0.0,10,1,3,10,0,29,4,2,1,5,4,4,13
39,9207,69,36,2.0,13,3,2,1,4,1,4,4,1,4,4,3,11
54,6159,27,23,0.0,18,2,3,4,0,13,2,7,3,1,4,2,7
55,19759,52,23,0.25,16,1,5,11,3,11,0,3,2,5,2,2,9
45,18783,43,42,0.1111111111111111,17,3,2,5,2,17,2,7,3,2,3,3,8
51,10607,95,43,0.8181818181818182,14,1,1,2,9,10,0,6,1,4,1,4,9
59,10672,81,28,1.2,18,4,1,9,6,4,2,6,3,5,3,1,9
46,4680,99,12,1.0,3,3,4,8,3,2,0,7,2,1,1,4,6
40,6475,64,17,0.8888888888888888,5,2,1,8,8,8,0,5,1,4,1,4,9
46,13274,61,14,0.1,8,4,3,5,3,29,4,6,1,3,2,3,8
30,5600,97,34,0.3333333333333333,4,1,4,8,2,5,2,5,3,4,3,1,8
48,10619,55,47,0.2,3,2,2,1,1,4,2,1,3,5,1,2,8
53,10317,94,2,0.05263157894736842,17,2,2,7,1,18,1,8,4,3,1,2,6
59,11402,35,5,0.5294117647058824,0,2,5,3,9,16,4,8,1,3,3,1,7
33,10585,81,48,0.2727272727272727,6,3,4,1,3,10,0,8,2,3,2,2,7
35,14256,17,31,0.8181818181818182,17,2,2,5,9,10,1,4,4,3,3,2,8
42,7099,84,49,0.2857142857142857,6,3,1,6,4,13,0,7,1,1,4,2,7
33,11713,64,17,0.10344827586206896,11,1,3,1,3,28,0,6,3,3,3,3,9
38,5620,34,20,0.045454545454545456,19,3,4,3,1,21,2,1,3,1,2,1,4
55,16905,31,13,0.23529411764705882,13,4,1,1,4,16,0,2,4,3,1,2,6
55,19241,40,26,0.24,4,3,2,11,6,24,1,9,4,4,1,2,7
35,10341,47,49,0.3181818181818182,8,1,1,11,7,21,0,1,4,3,1,3,7
53,16510,61,10,0.17647058823529413,4,4,1,1,3,16,3,3,2,2,4,1,7
37,10851,74,46,0.6666666666666666,4,4,3,1,6,8,0,3,4,4,2,4,10
43,12874,68,24,0.0,12,2,1,1,0,13,0,9,1,5,3,4,12
49,14592,31,20,0.1,13,2,2,7,2,19,0,6,2,1,2,3,6
34,15354,18,28,0.2857142857142857,19,3,2,4,6,20,0,5,3,4,1,3,8
41,10166,45,1,0.125,16,2,3,7,1,7,0,4,2,4,2,3,9
52,3319,21,25,0.0,6,3,1,6,0,13,0,4,4,3,2,2,7
54,7207,82,14,0.2631578947368421,2,4,1,11,5,18,0,2,3,2,4,1,7
46,3533,46,29,0.75,1,1,3,5,3,3,4,1,1,3,4,4,11
56,5314,49,47,1.5,19,4,5,5,3,1,1,4,4,2,3,4,9
41,8290,21,7,0.0,4,3,1,13,0,8,3,1,2,4,2,3,9
49,17456,56,9,3.5,13,3,3,4,7,1,3,3,2,2,1,3,6
53,3686,68,11,1.1666666666666667,15,4,4,4,7,5,0,4,4,4,4,4,12
45,3763,17,44,1.5,12,1,2,8,6,3,0,7,2,1,2,1,4
50,16875,95,25,0.7777777777777778,13,2,1,10,7,8,0,7,4,2,4,2,8
46,18570,37,14,1.0,3,2,4,1,6,5,0,5,1,3,4,2,9
38,18606,50,31,0.2608695652173913,11,1,2,3,6,22,1,3,4,4,3,4,11
31,14333,32,28,0.35,16,4,4,12,7,19,0,4,2,5,2,3,10
30,3508,23,11,4.0,5,4,1,14,8,1,4,5,1,3,3,3,9
33,17738,17,1,0.047619047619047616,13,2,2,2,1,20,1,6,4,4,3,3,10
57,15934,50,22,0.25,13,4,4,11,1,3,0,1,3,3,2,4,9
57,5854,36,39,1.5,11,3,3,9,9,5,0,7,3,1,1,1,3
39,9004,75,7,0.3,2,4,1,13,6,19,0,3,1,4,3,2,9
58,15864,64,27,0.3333333333333333,1,4,3,12,4,11,0,7,4,1,4,3,8
36,6093,23,33,0.3333333333333333,6,1,1,10,8,23,0,7,2,1,2,2,5
50,14383,27,7,0.05,0,2,2,11,1,19,0,7,4,1,4,4,9
45,4806,90,32,0.32142857142857145,19,1,5,12,9,27,4,3,1,3,2,4,9
39,6058,95,11,0.05555555555555555,5,4,2,5,1,17,0,9,2,4,2,4,10
59,10695,28,46,0.05263157894736842,19,2,2,11,1,18,1,8,4,3,3,2,8
55,14600,91,29,0.6666666666666666,13,2,2,6,4,5,0,5,4,5,3,2,10
59,14416,75,17,0.0,13,3,1,13,0,5,2,5,3,4,1,1,6
36,18745,17,39,0.375,12,4,5,14,9,23,2,9,3,5,4,2,11
49,7098,35,2,0.4090909090909091,12,3,3,10,9,21,0,2,4,4,3,4,11
46,19964,89,39,0.5,2,4,2,6,7,13,0,4,1,5,3,3,11
47,10138,35,5,0.5,7,3,2,6,1,1,0,8,1,5,3,2,10
51,8292,43,48,0.4444444444444444,16,2,4,12,8,17,2,5,3,1,1,3,5
33,7747,64,8,1.5,11,3,1,7,6,3,0,8,3,5,1,2,8
41,8132,64,7,0.2608695652173913,14,1,4,11,6,22,4,7,1,1,4,2,7
30,4117,82,5,0.8181818181818182,9,2,1,5,9,10,4,5,1,2,4,1,7
57,19221,60,39,0.3076923076923077,8,3,3,10,4,12,1,7,4,4,3,3,10
52,6663,58,2,0.0,12,2,5,9,0,23,0,6,1,1,3,3,7
45,17424,44,49,0.0,15,1,4,1,0,18,0,9,3,5,2,2,9
34,12615,16,48,0.2,17,4,2,4,1,4,2,7,3,2,3,3,8
48,17145,63,15,0.17391304347826086,1,3,2,7,4,22,0,5,1,1,4,1,6
58,17489,62,28,0.6,12,2,5,12,3,4,0,4,1,4,1,3,8
45,3479,26,21,0.3076923076923077,15,4,1,13,8,25,0,4,4,2,4,2,8
37,12923,18,23,0.5,5,3,5,10,2,3,1,3,4,1,4,2,7
37,15692,91,28,0.11538461538461539,13,4,4,5,3,25,2,1,3,2,2,2,6
48,6660,83,28,0.1111111111111111,11,2,5,6,3,26,4,5,1,3,4,3,10
50,10019,61,34,1.0,0,3,2,13,9,8,1,9,4,4,4,2,10
45,15197,91,2,0.6666666666666666,1,1,3,5,6,8,0,4,2,4,1,4,9
56,3489,37,9,0.0,0,1,3,13,0,19,3,2,2,1,4,1,6
31,4284,27,37,0.0,19,1,2,5,0,6,1,5,4,4,1,4,9
41,6990,39,19,0.8571428571428571,1,3,4,1,6,6,2,2,3,4,2,1,7
56,11458,49,22,0.2857142857142857,6,2,5,4,4,13,0,7,2,1,2,4,7
56,9282,49,18,0.1,6,4,4,5,2,19,0,7,1,4,2,4,10
59,8886,67,23,0.45,5,3,3,13,9,19,3,2,2,5,3,1,9
51,5410,50,16,0.14285714285714285,17,3,4,8,2,13,0,5,3,1,4,3,8
43,11998,27,7,0.0,11,4,4,1,0,19,0,2,4,2,3,3,8
46,4320,95,14,0.0,3,3,2,2,0,24,0,7,1,1,2,2,5
35,8862,22,10,0.16666666666666666,5,3,4,1,5,29,0,4,2,3,4,2,9
36,8268,32,21,0.2222222222222222,8,2,5,10,6,26,4,4,1,3,3,2,8
47,11205,47,31,0.041666666666666664,9,3,2,6,1,23,0,3,1,4,4,4,12
56,4909,40,45,0.14285714285714285,8,1,2,1,3,20,4,1,1,3,3,1,7
34,16412,25,28,0.5,9,3,5,11,4,7,2,5,3,3,3,4,10
54,7590,95,7,0.3,6,4,5,7,6,19,0,3,3,3,3,3,9
33,18899,28,4,2.25,12,4,2,7,9,3,0,1,4,2,3,1,6
56,15401,98,23,0.10714285714285714,6,1,4,7,3,27,0,9,2,5,4,3,12
36,14424,85,48,0.0,1,1,1,4,0,29,0,2,4,4,4,2,10
58,15061,19,30,0.4166666666666667,11,3,1,11,5,11,0,4,3,4,1,3,8
39,14904,49,33,0.5555555555555556,7,2,2,14,5,8,1,9,4,1,2,4,7
36,4884,59,4,0.0,5,4,2,14,0,17,2,8,3,2,1,2,5
52,14961,52,24,0.26666666666666666,18,4,5,9,8,29,0,6,2,1,2,4,7
30,12302,99,38,0.32142857142857145,19,1,4,5,9,27,0,8,2,1,2,1,4
59,13951,88,40,0.0,14,1,4,4,0,1,3,2,2,5,1,4,10
31,17656,96,31,0.5,7,3,1,4,5,9,0,5,3,4,1,2,7
47,3231,89,36,0.5,6,3,2,14,2,3,0,7,2,3,4,4,11
41,11231,55,43,0.21739130434782608,8,2,4,4,5,22,4,7,1,2,4,1,7
39,18235,66,47,0.21428571428571427,18,3,3,13,3,13,1,2,4,1,1,3,5
51,10035,70,9,0.10526315789473684,17,3,3,7,2,18,3,4,2,3,3,4,10
31,13877,16,36,0.27586206896551724,4,4,3,14,8,28,0,8,4,5,1,4,10
33,8734,74,20,0.1,13,3,4,8,3,29,0,3,2,2,1,1,4
56,7715,18,48,0.047619047619047616,8,1,4,7,1,20,3,4,2,1,2,1,4
43,4882,62,2,0.5625,9,1,2,7,9,15,4,4,1,2,3,4,9
47,13657,47,48,0.09090909090909091,0,4,2,13,1,10,3,7,2,4,2,2,8
42,16763,30,33,0.07692307692307693,2,3,3,4,1,12,0,6,4,2,2,3,7
49,15150,85,14,0.35,16,2,1,6,7,19,1,8,4,2,1,4,7
35,19674,20,3,0.47368421052631576,18,3,1,5,9,18,2,5,3,2,4,3,9
35,15428,74,13,0.375,0,3,2,11,9,23,3,7,2,1,4,2,7
30,16906,59,2,0.5,15,3,4,5,9,17,3,8,2,4,2,4,10
39,4145,49,11,0.08695652173913043,9,1,4,14,2,22,3,3,2,5,4,1,10
35,3736,62,37,0.4,6,1,3,1,4,9,1,6,4,3,1,2,6
55,11015,72,32,0.7142857142857143,4,2,2,1,5,6,4,8,1,3,2,2,7
46,6192,36,1,0.0,13,3,4,5,0,1,1,6,4,5,1,3,9
57,9040,15,10,0.21428571428571427,16,4,2,1,3,13,0,5,4,2,2,1,5
37,14096,36,36,0.6666666666666666,11,3,5,9,2,2,4,6,1,4,1,1,6
41,9127,93,8,0.5,1,1,4,4,7,13,2,2,3,5,4,2,11
51,6841,56,32,1.5,4,3,5,5,9,5,3,8,2,5,2,4,11
37,5642,49,26,0.2608695652173913,1,4,5,1,6,22,0,3,3,3,4,4,11
37,13296,49,37,0.0,10,3,3,9,0,25,0,6,1,1,2,2,5
37,17389,25,26,0.16666666666666666,4,4,2,8,1,5,0,4,4,5,1,4,10
42,10327,33,22,1.5,13,3,2,7,6,3,0,7,4,1,3,4,8
42,13900,27,32,3.0,6,3,4,6,9,2,1,9,4,4,3,3,10
34,16130,66,47,0.045454545454545456,15,4,4,9,1,21,3,2,2,4,1,2,7
49,11254,27,5,0.2857142857142857,13,2,5,5,8,27,0,6,1,4,3,3,10
54,12707,41,46,0.5,19,1,5,7,3,5,4,5,1,3,3,2,8
44,12817,38,19,0.17391304347826086,19,4,5,8,4,22,0,2,1,1,2,1,4
56,10004,40,29,0.35,5,4,5,6,7,19,4,2,1,4,2,1,7
59,9170,86,43,0.5,10,4,2,3,1,1,0,5,2,4,1,4,9
52,15562,37,32,1.0,8,2,2,3,9,8,3,6,2,3,2,4,9
41,4810,26,37,0.047619047619047616,4,1,4,1,1,20,4,7,1,3,1,4,8
51,9839,69,49,0.07692307692307693,3,4,1,10,2,25,3,1,2,4,2,1,7
32,9259,60,45,1.1428571428571428,10,1,4,2,8,6,0,4,2,3,3,3,9
31,3673,21,40,0.23809523809523808,3,2,4,3,5,20,0,3,1,5,4,3,12
35,12958,55,47,0.043478260869565216,4,2,2,13,1,22,0,8,3,5,1,3,9
54,13315,66,28,0.13793103448275862,11,4,1,6,4,28,1,5,4,2,4,4,10
45,8515,37,37,1.5,5,4,1,4,3,1,2,5,3,1,2,1,4
56,3099,87,12,0.045454545454545456,6,1,2,9,1,21,0,1,3,1,3,1,5
47,18987,62,28,0.4,11,4,2,10,4,9,0,2,4,5,3,4,12
59,16376,80,4,0.07142857142857142,6,4,3,3,1,13,0,4,1,3,2,2,7
33,15251,41,38,0.2857142857142857,3,4,1,6,8,27,0,8,4,5,1,2,8
33,18949,93,32,1.25,18,4,5,3,5,3,3,2,2,4,3,1,8
58,8258,89,34,3.5,17,4,1,10,7,1,0,9,4,5,1,3,9
35,10663,92,43,0.4,0,2,2,5,8,19,1,4,4,4,2,2,8
40,12232,90,10,0.25,2,1,1,6,5,19,2,6,3,1,3,4,8
46,4459,69,26,0.0,11,4,3,1,0,27,0,7,3,1,2,4,7
39,11556,90,8,0.35294117647058826,9,1,1,8,6,16,4,3,1,1,1,1,3
56,17013,27,31,0.0,0,4,3,11,0,26,4,2,1,5,2,3,10
51,14655,78,34,0.45,11,4,2,4,9,19,0,8,4,2,3,3,8
46,9269,27,35,0.03571428571428571,1,3,3,4,1,27,0,7,1,2,1,2,5
50,15435,53,7,0.09523809523809523,7,2,1,12,2,20,0,4,3,3,4,2,9
54,4358,65,15,0.1,14,2,5,1,1,9,4,3,1,3,3,1,7
57,16760,18,30,0.0,11,1,5,9,0,19,1,8,4,1,2,3,6
37,5914,61,6,0.10714285714285714,18,4,5,10,3,27,0,7,1,5,3,2,10
30,7323,56,20,1.2857142857142858,16,1,5,11,9,6,4,4,1,5,1,4,10
44,7918,22,46,0.35294117647058826,16,1,1,13,6,16,3,6,2,5,2,2,9
32,15188,93,40,0.18181818181818182,5,2,4,5,4,21,3,5,2,5,2,1,8
47,17432,35,10,0.5,11,4,5,12,4,7,1,1,4,5,1,1,7
52,18651,55,47,0.4166666666666667,2,1,4,12,5,11,0,5,2,5,3,1,9
39,8504,47,15,0.2727272727272727,16,2,5,6,6,21,3,5,2,5,4,1,10
46,10430,61,32,2.0,1,4,4,3,8,3,0,7,2,4,4,3,11
41,16971,26,13,0.0,11,1,4,6,0,27,0,1,1,2,1,2,5
58,17606,46,46,0.0,18,1,4,5,0,5,4,6,1,5,4,4,13
39,18324,92,32,0.07692307692307693,7,4,2,5,2,25,1,9,4,4,4,3,11
40,11315,32,35,1.0,8,3,1,2,6,5,2,3,3,4,1,1,6
